Environment Canada
Monthly Values for January - 2000

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"ESTEVAN POINT CS","49.383","-126.545","BC","5.1","0",NA,"10.8","0","-1.1","0","",,NA,"343.6","0",NA,"","22","",,NA,"398.5","0.0","1032731"
"GOLD RIVER TOWNSITE","49.783","-126.048","BC","0.9","0","-1.1","7.0","0","-6.0","0","100.0","0","368.0","274.2","0","65.0","19.0","22","","",NA,"528.9","0.0","1033232"
"HENDERSON LAKE HATCHERY","49.133","-125.142","BC","2.0","0",NA,"10.5","0","-5.0","0","68.2","0",NA,"672.3","0",NA,"","24","","",NA,"495.3","0.0","1033456"
"LENNARD ISLAND","49.111","-125.923","BC","",,NA,"",,"",,"11.5","0","333.0","390.1","0","85.0","0.0","24","","",NA,"","","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","2.4","0","-1.5","9.0","0","-4.5","0","57.4","0","418.0","298.1","0","50.0","0.0","22","","",NA,"483.2","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","4.3","0","-1.3","12.5","0","0.0","0","18.0","0","383.0","301.0","0","64.0","0.0","25","","",NA,"424.3","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","3.8","0","-1.9","10.0","0","-3.0","0","20.5","0","380.0","365.0","0","88.0","0.0","25","","",NA,"440.7","0.0","1035940"
"PORT ALBERNI COX LAKE","49.201","-124.756","BC","1.6","0","-1.2","8.0","0","-4.5","0","107.5","0","407.0","291.6","0","80.0","12.0","20","","",NA,"507.6","0.0","1036208"
"PORT ALBERNI SHUHUM CREEK","49.300","-124.933","BC","1.3","0",NA,"7.0","0","-3.5","0","64.0","0",NA,"215.8","0",NA,"","18","","",NA,"518.9","0.0","1036218"
"PORT ALICE","50.386","-127.453","BC","2.8","0","-2.1","11.5","0","-2.0","0","56.4","0","693.0","336.4","0","68.0","0.0","20","","",NA,"471.5","0.0","1036240"
"QUATSINO","50.534","-127.653","BC","3.0","0","-1.4","11.0","0","-1.5","0","42.2","0","411.0","225.6","0","64.0","0.0","20","","",NA,"464.9","0.0","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","5.3","0","-0.7","13.8","0","-0.5","0","0.0","7",NA,"129.0","7",NA,"0.0","15","","",NA,"393.3","0.0","1036572"
"PORT ALBERNI (AUT)","49.317","-124.926","BC","1.2","1",NA,"7.0","1","-3.7","0","",,NA,"190.4","2",NA,"","17","",,NA,"503.9","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","4.3","0",NA,"10.1","0","0.0","0","",,NA,"132.0","1",NA,"","19","",,NA,"423.8","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","4.6","1",NA,"10.5","1","-0.1","1","",,NA,"113.8","1",NA,"","19","",,NA,"400.8","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.933","-126.650","BC","2.4","12",NA,"9.0","9","-2.0","9","106.8","0","######","452.4","1",NA,"","16","","",NA,"295.6","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","3.7","0","-1.6","12.3","0","-3.4","0","58.2","0","635.0","361.9","0","74.0","0.0","25","69.1","0","118.0","443.2","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","4.2","0","-1.3","11.5","0","-2.5","0","21.0","0","308.0","352.4","0","70.0","0.0","25","","",NA,"428.1","0.0","1038332"
"NITINAT LAKE (AUT)","48.667","-124.833","BC","4.4","2",NA,"8.9","1","-0.2","1","",,NA,"245.2","4",NA,"","19","",,NA,"393.0","0.0","103EFJ0"
"BOWEN ISLAND BOWEN BAY","49.366","-123.421","BC","",,NA,"",,"",,"14.0","0",NA,"209.1","0",NA,"0.0","21","","",NA,"","","104090R"
"BOWEN ISLAND CATES BAY","49.412","-123.315","BC","",,NA,"",,"",,"17.5","0",NA,"197.3","0",NA,"0.0","19","","",NA,"","","1040911"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"68.4","0",NA,"236.4","0",NA,"0.0","21","","",NA,"","","104091B"
"BOWEN ISLAND MILLERS LDG","49.392","-123.328","BC","2.7","15",NA,"9.0","15","-0.5","13","33.0","1",NA,"142.1","8",NA,"","15","","",NA,"244.6","0.0","1040R09"
"BRITANNIA BEACH FURRY CR","49.584","-123.224","BC","",,NA,"",,"-1.0","9","19.7","0",NA,"276.6","0",NA,"","18","","",NA,"","","1041050"
"GAMBIER HARBOUR","49.443","-123.433","BC","",,NA,"",,"",,"37.0","0","248.0","205.2","0","82.0","0.0","21","","",NA,"","","1043048"
"GIBSONS GOWER POINT","49.386","-123.541","BC","3.8","0","-0.8","9.0","0","0.0","0","11.2","0","127.0","186.6","0","100.0","0.0","19","","",NA,"438.7","0.0","1043152"
"LOIS RIVER DAM","49.795","-124.318","BC","",,NA,"",,"",,"20.3","0","173.0","170.7","0","84.0","0.0","22","","",NA,"","","1044710"
"MALIBU JERVIS INLET","50.165","-123.853","BC","",,"","7.5","0","",,"43.0","0","185.0","214.2","0","67.0","0.0","23","","",NA,"","","1044840"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","4.7","0","-0.7","9.8","0","0.7","0","0.0","0","0.0","137.0","0","101.0","0.0","20","62.8","0","116.0","413.3","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","4.4","13",NA,"9.8","13","-0.6","13","",,NA,"",,NA,"","","",,NA,"244.9","0.0","10459NN"
"POWELL RIVER","49.876","-124.554","BC","3.7","0","-0.9","9.5","0","-1.0","0","5.0","0","81.0","117.6","0","85.0","0.0","18","","",NA,"442.7","0.0","1046390"
"POWELL RIVER A","49.834","-124.500","BC","2.4","0","-1.2","8.5","0","-3.0","0","40.4","0","297.0","138.8","0","87.0","0.0","20","61.6","0","144.0","484.7","0.0","1046391"
"SECHELT 5WEST","49.474","-123.806","BC","2.3","10",NA,"9.5","9","-3.0","9","6.0","0",NA,"128.6","0",NA,"0.0","14","","",NA,"329.0","0.0","1047179"
"SQUAMISH STP CENTRAL","49.698","-123.160","BC","2.4","0","-0.3","10.0","0","-3.5","0","74.8","0","289.0","240.0","0","74.0","23.0","20","","",NA,"483.7","0.0","1047671"
"SQUAMISH UPPER","49.896","-123.281","BC","0.9","0","0.3","7.0","0","-7.0","0","191.6","0","286.0","313.2","0","88.0","61.0","19","","",NA,"530.8","0.0","1047672"
"SQUAMISH","49.783","-123.161","BC","1.4","0",NA,"8.2","0","-4.0","0","",,NA,"223.6","0",NA,"","14","",,NA,"514.5","0.0","10476F0"
"STILLWATER POWER HOUSE","49.767","-124.317","BC","",,NA,"",,"",,"11.0","0","136.0","167.0","0","86.0","0.0","22","","",NA,"","","1047770"
"WHISTLER","50.129","-122.955","BC","-3.0","0","-0.9","3.3","0","-12.5","0","161.1","0","156.0","113.2","0","64.0","98.0","16","28.7","0","71.0","651.2","0.0","1048898"
"WOODFIBRE","49.581","-123.889","BC","2.0","16",NA,"9.5","9","-2.5","10","76.2","0","313.0","412.2","0","97.0","","15","","",NA,"240.0","0.0","1048974"
"CAPE ST JAMES CS","51.936","-131.016","BC","3.2","6",NA,"9.3","5","-2.5","2","",,NA,"",,NA,"","","",,NA,"370.3","0.0","1051351"
"KINDAKUN ROCKS (AUT)","53.316","-132.772","BC","3.4","0",NA,"11.9","0","-3.3","0","",,NA,"191.6","0",NA,"","17","",,NA,"453.7","0.0","1054222"
"LANGARA","54.255","-133.058","BC","2.0","0","-2.0","10.3","0","-4.5","0","46.0","0","231.0","213.6","0","104.0","","23","",,NA,"494.7","0.0","1054500"
"LANGARA ISLAND CS","54.250","-133.050","BC","2.6","1",NA,"11.6","1","-3.3","0","",,NA,"",,NA,"","","",,NA,"462.4","0.0","1054503"
"MORESBY ISLAND MITCHELL INLET","52.935","-132.129","BC","1.0","1",NA,"11.0","0","-7.0","1","41.0","0",NA,"727.8","0",NA,"0.0","18","0.0","0",NA,"511.0","0.0","10551R8"
"ROSE SPIT (AUT)","54.159","-131.661","BC","2.5","3",NA,"8.3","3","-3.9","2","",,NA,"169.0","4",NA,"","14","",,NA,"433.3","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","1.9","0","-2.1","9.2","0","-5.6","0","31.0","0","244.0","191.8","0","101.0","0.0","17","",,NA,"498.9","0.0","1057050"
"ADDENBROKE ISLAND","51.604","-127.864","BC","3.3","0","-1.3","13.0","0","-2.2","0","29.0","0","223.0","241.4","0","59.0","0.0","19","","",NA,"455.2","0.0","1060080"
"BELLA COOLA","52.371","-126.685","BC","-2.3","0","-2.3","9.0","0","-13.0","0","23.8","0","65.0","92.2","0","42.0","4.0","11","","",NA,"630.1","0.0","1060840"
"BELLA COOLA A","52.388","-126.596","BC","-1.5","0","-1.7","7.9","0","-13.4","0","24.2","0","80.0","49.8","0","32.0","5.0","10","19.4","0","116.0","604.9","0.0","1060841"
"BOAT BLUFF","52.643","-128.524","BC","2.0","0","-1.6","10.0","0","-6.0","0","22.6","0","82.0","401.2","0","67.0","0.0","18","","",NA,"496.0","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","3.0","0","-1.9","14.0","0","-4.2","0","24.0","0","276.0","245.2","0","103.0","0.0","16","","",NA,"464.0","0.0","1060902"
"BONILLA ISLAND (AUT)","53.500","-130.633","BC","3.2","0",NA,"13.7","0","-3.8","0","",,NA,"115.6","1",NA,"","16","",,NA,"459.6","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.191","-127.475","BC","1.5","0",NA,"8.8","0","-5.1","0","",,NA,"159.2","1",NA,"","11","",,NA,"511.9","0.0","1061458"
"CUMSHEWA ISLAND","53.033","-131.600","BC","3.3","0",NA,"10.3","0","-2.6","0","",,NA,"0.0","0",NA,"","0","",,NA,"456.8","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","2.7","0","-1.5","11.0","0","-4.0","0","41.4","0","387.0","215.0","0","77.0","0.0","18","","",NA,"473.9","0.0","1062544"
