Environment Canada
Monthly Values for May - 2007

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","1",NA,"13.1","1",NA,"0.0","4","","",NA,"","","10253G0"
"PINE ISLAND","50.976","-127.728","BC","9.7","0","-0.6","15.5","0","5.0","0","0.0","0",NA,"79.4","0","92.0","0.0","12","","",NA,"257.1","0.0","1026170"
"PORT HARDY A","50.680","-127.366","BC","9.5","0","-0.5","17.6","0","2.4","0","0.0","0","0.0","53.6","0","68.0","0.0","12","",,NA,"262.0","0.0","1026270"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","11.9","0",NA,"24.9","0","3.5","0","",,NA,"24.0","0",NA,"","4","",,NA,"190.4","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","12.2","0","0.2","26.0","0","0.5","0","0.0","0",NA,"47.6","0","93.0","0.0","7","","",NA,"180.4","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","11.7","2","-0.3","26.0","2","2.0","2","0.0","2",NA,"33.6","2",NA,"0.0","9","","",NA,"183.4","0.0","1026639"
"ENTRANCE ISLAND","49.209","-123.809","BC","12.5","0",NA,"21.0","0","7.0","0","0.0","0",NA,"16.2","0",NA,"0.0","5","","",NA,"169.5","0.5","102BFHH"
"COURTENAY MEADOWBROOK","49.717","-124.977","BC","12.5","1","0.0","26.0","1","2.0","1","0.0","1",NA,"34.4","1",NA,"0.0","8","","",NA,"166.5","1.1","102JR88"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","12.4","1","0.1","29.5","1","2.0","1","0.0","1",NA,"72.6","1",NA,"0.0","7","","",NA,"169.1","1.1","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","10.4","0","-0.4","20.0","0","4.5","0","0.0","0",NA,"104.2","0","76.0","0.0","11","","",NA,"235.9","0.0","1031316"
