Environment Canada
Monthly Values for September - 2000

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"MORESBY ISLAND MITCHELL INLET","52.935","-132.129","BC","12.2","9",NA,"18.0","9","5.0","9","0.0","0",NA,"385.6","10",NA,"0.0","12","","",NA,"122.0","0.0","10551R8"
"ROSE SPIT (AUT)","54.159","-131.661","BC","11.8","3",NA,"16.3","1","6.5","2","",,NA,"0.0","3",NA,"","0","",,NA,"168.1","0.0","1056869"
"SANDSPIT A","53.254","-131.813","BC","13.1","0","-0.1","21.1","0","4.2","0","0.0","0",NA,"50.4","0","60.0","0.0","8","",,NA,"148.5","0.0","1057050"
"SEWALL MASSET INLET","53.764","-132.299","BC","12.7","0",NA,"20.0","0","5.0","0","0.0","0",NA,"125.8","0",NA,"0.0","17","","",NA,"157.8","0.0","105PA91"
"ADDENBROKE ISLAND","51.604","-127.864","BC","13.2","0","0.2","19.9","0","6.9","0","0.0","0",NA,"208.1","0","91.0","0.0","15","","",NA,"144.5","0.0","1060080"
"BELLA COOLA","52.371","-126.685","BC","12.6","0","-0.6","21.0","0","-1.0","0","0.0","0",NA,"115.6","0","104.0","0.0","14","","",NA,"162.4","0.0","1060840"
"BELLA COOLA A","52.388","-126.596","BC","12.9","0","-0.4","21.2","0","0.1","0","0.0","0",NA,"89.6","0","99.0","0.0","10","147.5","0","94.0","151.6","0.0","1060841"
"BOAT BLUFF","52.643","-128.524","BC","12.6","0","-0.3","19.5","0","5.5","0","0.0","0",NA,"364.8","0","100.0","0.0","16","","",NA,"163.4","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","12.1","0","-0.6","18.1","0","6.1","0","0.0","0",NA,"166.6","0","100.0","0.0","16","","",NA,"176.3","0.0","1060902"
"BONILLA ISLAND (AUT)","53.500","-130.633","BC","11.9","3",NA,"16.4","1","6.9","2","",,NA,"96.8","4",NA,"","14","",,NA,"166.0","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.191","-127.475","BC","13.1","3",NA,"18.4","1","7.4","2","",,NA,"236.0","3",NA,"","12","",,NA,"132.0","0.0","1061458"
"CUMSHEWA ISLAND","53.033","-131.600","BC","13.1","1",NA,"18.5","1","8.4","0","",,NA,"",,NA,"","","",,NA,"140.7","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","13.4","0","-0.2","20.5","0","6.5","0","0.0","0",NA,"220.4","0","106.0","0.0","17","","",NA,"138.0","0.0","1062544"
"EGG ISLAND","51.247","-127.835","BC","11.8","0","-0.3","18.4","0","5.6","0","0.0","0",NA,"170.6","0","110.0","0.0","16","","",NA,"185.5","0.0","1062646"
